1	不回复给差评了哈	anger
2	不给说明白，我明天投诉了。[发怒]	anger
3	为什么显示3615 这不是骗人吗	anger
4	为什么没给我发票[发怒][发怒]	anger
5	为什么要7号才能发货？[发怒]	anger
8	什么客服？都死啦	anger
9	但我手机妈的就是没内存，郁闷	anger
10	你他妈回答个问题怎么都回答不清楚	anger
12	你们公司 是不是用活动的行式 骗消费者 消费了 赠品就不给	anger
15	你们是期骗消费者	anger
16	你们这不是欺骗么说的24小时请我等电话。电话呢，亲	anger
17	你干鸡毛个傻逼客服啊，还我自己看，自己看还找你	anger
18	你成功的忽悠了我	anger
19	你是不是傻逼	anger
20	你的卷也是广告的一部分，你们这是虚假宣传，骗人。	anger
21	你这么说有点忽悠人，太不专业了。	anger
23	刚付款就没货？骗人吗？	anger
24	刚发的通知就没有，是不是骗人的	anger
25	别欺骗我，让我等半个月一类的，	anger
26	到底是给我发货还是退款？实在没办法我只能投诉了	anger
27	到我这边都两天了，就这办事效率，[发怒][发怒][发怒]	anger
28	前段时间看说活动40天，没几天就没了，忽悠人的呀	anger
29	加价卖，谁买谁傻逼	anger
30	反正你们苏宁不怕投诉	anger
32	啥都没有，要投诉你们欺骗消费者	anger
33	在哪里投诉	anger
34	垃圾苏宁	anger
35	垃圾	anger
36	大骗子	anger
37	奸细啊 [发怒]	anger
38	好气呀	anger
39	好的吧反正我已经投诉le	anger
40	妈的售前没人啊	anger
41	妈的	anger
44	小气苏	anger
48	很郁闷	anger
49	忽悠	anger
50	怎么操作的	anger
51	我中午会打你们南京那边的消协电话投诉的	anger
52	我他妈排的哪门子队	anger
53	我们打人工客服怎么没有投诉那一项呢	anger
54	我会投诉的	anger
56	我很生气！	anger
57	我很生气	anger
58	我感觉很心累	anger
60	我投诉你，	anger
61	我要咨询买hdni接口，你说没有，真让人生气	anger
62	我要投诉你们	anger
64	我要投诉	anger
65	我非常生气	anger
66	所以我很烦啊	anger
67	手表坏了的问题还没解决，不行我准备去你们总部投诉了	anger
69	投诉了昂	anger
70	投诉去	anger
72	投诉电话呢！	anger
75	操你妈粉色上面是多少钱，你你不会回答啊	anger
76	操你妈阿	anger
80	是不是忽悠人的呀	anger
81	是的，操你妈，我想，咋的，垃圾苏宁	anger
84	欺诈消费者	anger
85	欺骗消费群众啊	anger
88	欺骗视线	anger
89	死骗子	anger
94	烦死了	anger
95	然后我到时候会投诉的	anger
96	生气	anger
97	真的烦。	anger
98	真郁闷	anger
101	给差评了哈	anger
102	苏宁客服死光光了	anger
104	苏宁易购你们服务真他妈差	anger
105	苏宁这么差劲	anger
106	苏宁骗人广告	anger
107	草泥马你妈还给我那条玉溪	anger
109	让我很郁闷	anger
110	让我撞死算了	anger
111	设置有问题，要不你们就是打虚假广告，欺骗消费者	anger
112	赶紧答复我，要不我就投诉	anger
114	还是全家死了	anger
115	还是死妈了	anger
117	这不是骗人么	anger
118	那你图片上面的6388？我能不能算你在欺骗消费者	anger
120	阿哈哈哈我要气死了	anger
121	需要在电脑端操作，还很麻烦嘛？	anger
122	非得差评，加投诉才能有反应么	anger
123	靠 这不是欺骗客户嘛	anger
125	骗人啊这是	anger
126	骗人的，没有库存，页面哪里就不要讲有耳机送	anger
127	骗人的	anger
128	骗人	anger
130	骗子啊	anger
131	骗子	anger
132	[发呆] [发呆]	anger
133	[发呆] [发怒] [囧]	anger
134	[发怒]但是我想支付呀	anger
136	[发怒] [发怒]	anger
138	[发怒] [发怒] [发怒] [发怒]	anger
139	[发怒] [发怒] [发怒] [发怒] [发怒] [发怒]	anger
140	[发怒][发怒]	anger
141	[发怒][发怒][发怒]	anger
142	[发怒][发怒][发怒][发怒]	anger
143	[发怒][发怒][发怒][发怒][发怒]	anger
144	[大哭] [囧] [发怒]	anger
145	[愤怒]	anger
146	好郁闷	anger
148	愁死人了。	anger
149	搞死	anger
150	哦，谢谢，打扰您了。再见！	closing
151	哦，谢谢，88	closing
152	好的，谢谢了，再见了[微笑]	closing
153	谢谢你再见	closing
154	谢谢再见	closing
155	谢谢老板解惑，再见。	closing
157	谢谢，拜拜	closing
158	谢谢 再见	closing
164	跟你说话好辛苦	critics
165	跟你说话辛苦啊	critics
166	问第一次你回答另一边去问了第二次你才回答 ，和你说话辛苦啊	critics
167	也太差劲了吧	critics
168	你们回复有点慢	critics
169	你们在骗人	critics
170	你们太慢了！	critics
